Inst Code,Branch Code,Branch Name,OC BOYS,OC GIRLS,BC_A BOYS,BC_A GIRLS,BC_B BOYS,BC_B GIRLS,BC_C BOYS,BC_C GIRLS,BC_D BOYS,BC_D GIRLS,BC_E BOYS,BC_E GIRLS,SC_I BOYS,SC_I GIRLS,ST BOYS,ST GIRLS,EWS BOYS,EWS GIRLS
KITS,MEC,MECHANICAL ENGINEERING,49217,49217,116029,130915,109302,135042,74095,74095,84959,100982,49217,88956,49217,49217,124045,146578,106530,114966
KITW,AIM,ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING,NA,64580,NA,97180,NA,107788,NA,64580,NA,92165,NA,80647,NA,64580,NA,147961,NA,133229
KITW,CIV,CIVIL ENGINEERING,NA,108154,NA,108154,NA,108154,NA,108154,NA,108154,NA,108154,NA,108154,NA,108154,NA,108154
KITW,CSE,COMPUTER SCIENCE AND ENGINEERING,NA,62956,NA,111171,NA,105082,NA,81775,NA,72879,NA,109444,NA,62956,NA,145123,NA,126670
KITW,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,NA,96026,NA,131279,NA,134894,NA,100073,NA,126591,NA,133711,NA,108212,NA,149521,NA,96026
KLRT,CIV,CIVIL ENGINEERING,102649,102649,141431,141431,146277,146277,102649,102649,146739,146739,102649,102649,102649,102649,145946,145946,102649,102649
KLRT,CSD,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),92946,117769,95141,133630,128867,128867,131382,131382,114131,124781,120267,120267,110121,117769,149558,149558,92946,117769
KLRT,CSE,COMPUTER SCIENCE AND ENGINEERING,80437,84807,132874,132874,132457,132457,80437,84807,110687,135057,134268,134268,80437,113575,150801,150801,80437,106726
KLRT,CSM,"COMPUTER SCIENCE AND ENGINEERING
(ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING)",68018,68018,117000,117000,97905,97905,68018,68018,97291,97291,117875,117875,68018,68018,149831,149831,131584,131584
KLRT,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,86848,86848,133144,143154,147454,147454,86848,114761,119225,119225,94166,94166,86848,86848,134408,134408,86848,113665
KLRT,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,90034,93911,137551,137551,147942,150217,90034,93911,90034,151481,90034,151524,90034,93911,139955,139955,90034,93911
KLRT,MEC,MECHANICAL ENGINEERING,95973,95973,136887,136887,145758,145758,95973,95973,115582,115582,95973,95973,95973,95973,100068,100068,95973,95973
KLRT,MIN,MINING ENGINEERING,89263,89263,111107,142094,111542,111542,89263,89263,132173,133163,89263,89263,89263,89263,148603,148603,89263,89263
KMCE,CSE,COMPUTER SCIENCE AND ENGINEERING,19584,19584,50877,55752,34455,34455,108552,108552,27704,27704,55936,83621,131799,131799,101247,139167,23601,24674
